Product,Has account number,open date,current balance,Maturity date,Interest rate,Maturity amount,Bank Name,branch name,Loan number,Loan Amount,Loan Term (years),Loan Interest,Current outstanding Loan amount,Last payment amount,Last payment date,Card number,Current Balance,Credit Limit,Card type,Last Payment Made,Business Name,Business Category Type,Business Account Number,number of employees,business address,year of business registration,financial_year,income,expense,profit,ProductID
Certificate Of Deposit,CD7669456980,2020-03-08,69051.11,2021-03-08,0.0558,72904.16,Liberty Bank,South Branch,,,,,,,,,,,,,,,,,,,,,,,PROD00001
Certificate Of Deposit,CD3425458760,2022-10-07,44476.19,2025-10-06,0.0308,48713.67,Community Savings,North Branch,,,,,,,,,,,,,,,,,,,,,,,PROD00002
Home Loan Account,,,,,,,,,LN599620746915,653045.48,30.0,0.0685,306938.16,2160.07,2021-08-08,,,,,,,,,,,,,,,,PROD00003
Savings Account,SAV4647002178,2023-07-03,49405.96,,0.0332,,Pioneer Bank,North Branch,,,,,,,,,,,,,,,,,,,,,,,PROD00004
Certificate Of Deposit,CD7672594619,2019-04-09,19570.67,2020-04-08,0.0249,20057.98,Community Savings,Eastside,,,,,,,,,,,,,,,,,,,,,,,PROD00005
Savings Account,SAV0428196192,2020-10-27,13671.24,,0.0419,,MetroBank,Central,,,,,,,,,,,,,,,,,,,,,,,PROD00006
Home Loan Account,,,,,,,,,LN411571078372,52437.0,25.0,0.0619,30409.44,3367.72,2019-09-01,,,,,,,,,,,,,,,,PROD00007
Credit Card,,,,,,,,,,,,,,,,4316527077836894.0,555.29,10000.0,Mastercard,2024-03-25,,,,,,,,,,,PROD00008
Certificate Of Deposit,CD7461493668,2019-11-16,53069.16,2020-11-15,0.0301,54666.54,Citadel Bank,Downtown,,,,,,,,,,,,,,,,,,,,,,,PROD00009
Small Business Account,,,,,,,,,,,,,,,,,,,,,Young LLC,Construction,BUS06997406,224.0,"1746 Center St, Philadelphia, TN",2009.0,2022.0,4519051.83,2353051.92,2165999.91,PROD00010
Small Business Account,,,,,,,,,,,,,,,,,,,,,Young LLC,Construction,BUS06997406,224.0,"1746 Center St, Philadelphia, TN",2009.0,2023.0,3984794.46,2518451.86,1466342.6,PROD00011
Small Business Account,,,,,,,,,,,,,,,,,,,,,Young LLC,Construction,BUS06997406,224.0,"1746 Center St, Philadelphia, TN",2009.0,2024.0,1886708.63,1066945.82,819762.81,PROD00012
Credit Card,,,,,,,,,,,,,,,,1086291422089614.0,5183.48,10000.0,Mastercard,2022-01-07,,,,,,,,,,,PROD00013
Certificate Of Deposit,CD3425592962,2015-08-11,84685.09,2020-08-09,0.016,91680.19,Liberty Bank,Eastside,,,,,,,,,,,,,,,,,,,,,,,PROD00014
Home Loan Account,,,,,,,,,LN670649276366,693876.24,20.0,0.0514,626850.37,3302.43,2021-06-19,,,,,,,,,,,,,,,,PROD00015
Checking Account,CHK0271159598,2013-10-06,13710.73,,0.0283,,Liberty Bank,Uptown,,,,,,,,,,,,,,,,,,,,,,,PROD00016
Small Business Account,,,,,,,,,,,,,,,,,,,,,Mitchell Co,Landscape,BUS40726638,143.0,"6092 Oak St, Portland, TX",1990.0,2022.0,1337003.72,742859.23,594144.49,PROD00017
Small Business Account,,,,,,,,,,,,,,,,,,,,,Mitchell Co,Landscape,BUS40726638,143.0,"6092 Oak St, Portland, TX",1990.0,2023.0,1855556.58,1553203.32,302353.26,PROD00018
Small Business Account,,,,,,,,,,,,,,,,,,,,,Mitchell Co,Landscape,BUS40726638,143.0,"6092 Oak St, Portland, TX",1990.0,2024.0,1325563.81,890065.03,435498.78,PROD00019
Certificate Of Deposit,CD9366647610,2012-06-06,47676.21,2014-06-06,0.0391,51477.38,Liberty Bank,Westside,,,,,,,,,,,,,,,,,,,,,,,PROD00020
Credit Card,,,,,,,,,,,,,,,,8146794714044903.0,6650.75,3000.0,Mastercard,2022-08-19,,,,,,,,,,,PROD00021
Home Loan Account,,,,,,,,,LN960299802690,366833.7,20.0,0.0593,75276.32,4183.13,2024-03-20,,,,,,,,,,,,,,,,PROD00022
Savings Account,SAV2775299571,2024-06-07,1289.01,,0.0017,,Citadel Bank,South Branch,,,,,,,,,,,,,,,,,,,,,,,PROD00023
Savings Account,SAV2141043542,2018-10-18,2168.25,,0.0394,,First National Bank,Uptown,,,,,,,,,,,,,,,,,,,,,,,PROD00024
Small Business Account,,,,,,,,,,,,,,,,,,,,,King Co,Consulting,BUS60984174,231.0,"1423 Riverside Dr, Washington, AZ",1994.0,2022.0,648434.11,506390.0,142044.11,PROD00025
Small Business Account,,,,,,,,,,,,,,,,,,,,,King Co,Consulting,BUS60984174,231.0,"1423 Riverside Dr, Washington, AZ",1994.0,2023.0,2935116.15,2408171.1,526945.05,PROD00026
Small Business Account,,,,,,,,,,,,,,,,,,,,,King Co,Consulting,BUS60984174,231.0,"1423 Riverside Dr, Washington, AZ",1994.0,2024.0,1916903.91,1473766.21,443137.7,PROD00027
Certificate Of Deposit,CD8677242344,2021-05-04,10818.67,2026-05-03,0.0436,13391.96,MetroBank,Eastside,,,,,,,,,,,,,,,,,,,,,,,PROD00028
Credit Card,,,,,,,,,,,,,,,,3190800785553136.0,11254.26,20000.0,Visa,2022-11-10,,,,,,,,,,,PROD00029
Small Business Account,,,,,,,,,,,,,,,,,,,,,Walker Inc,Landscape,BUS35122457,160.0,"9221 Main St, Washington, MD",2007.0,2022.0,164186.84,102283.75,61903.09,PROD00030
